instance_row_in_test,valid_off,cost_off,changed_features_off,valid_on,cost_on,changed_features_on,cost_delta_off_minus_on
50,True,0.25547493202740434,blood_glucose,True,0.24817375910864556,insulin,0.007301172918758786
128,True,0.24409149067520944,blood_glucose,True,0.25525109281411407,blood_glucose,-0.011159602138904628
13,True,1.1362014652181778,blood_glucose,True,1.1881473831940028,blood_glucose,-0.05194591797582504
3,True,2.25135315647781,blood_glucose,True,2.3542826193516215,blood_glucose,-0.10292946287381133
16,True,1.1752489411353737,blood_glucose,True,1.2289800680688459,blood_glucose,-0.05373112693347215
150,True,1.281186257299194,blood_glucose,True,1.339760725244602,blood_glucose,-0.05857446794540788
102,True,2.3779315986550142,blood_glucose,True,2.3099731253447677,insulin,0.06795847331024651
47,True,1.6559581817972886,blood_glucose,True,1.7316668221010194,blood_glucose,-0.07570864030373081
97,True,1.431783886190582,blood_glucose,True,1.3908651939074284,insulin,0.0409186922831537
105,True,1.3763542047531951,blood_glucose,True,1.4392796496285514,blood_glucose,-0.06292544487535623
